correlations,mean assort,conf_int
-1.0,0.32918507211792186,0.010469076988839638
-0.8,0.3165342646773984,0.010842160621074197
-0.6,0.3285359527501654,0.01058395400038896
-0.4,0.3121283113722222,0.011508599099958711
-0.2,0.28135005918371897,0.011302880543589267
0.0,0.2595324350046721,0.0110742904589027
0.2,0.22723670190446885,0.010895771038188147
0.4,0.1853423748344942,0.010899735156722403
0.6,0.1307117005143341,0.011658932671354715
0.8,0.04981155330362168,0.009308609769460146
1.0,-0.01305498121097702,0.012469560932822385
