Correlations,mean_same,std_same,mean_diff,std_diff
-1.0,1.649642857142857,0.05815471820927344,-1.649642857142857,0.05815471820927344
-0.8,1.5439285714285713,0.0627070271181787,-1.5439285714285713,0.0627070271181787
-0.6,1.5803571428571428,0.05183301312870013,-1.5803571428571428,0.05183301312870013
-0.4,1.5757142857142858,0.0554434847389664,-1.5757142857142858,0.0554434847389664
-0.2,1.4764285714285712,0.053768996643047004,-1.4764285714285712,0.053768996643047004
0.0,1.3839285714285714,0.06222066577914448,-1.3839285714285714,0.06222066577914448
0.2,1.1657142857142857,0.043890773517904644,-1.1657142857142857,0.043890773517904644
0.4,0.9585714285714285,0.054885152819319,-0.9585714285714285,0.054885152819319
0.6,0.6878571428571428,0.04151511772836493,-0.6878571428571428,0.04151511772836493
0.8,0.2928571428571428,0.04428769580820389,-0.2928571428571428,0.04428769580820389
1.0,0.011428571428571427,0.03797920483633116,-0.011428571428571427,0.03797920483633116
